label,R,G,B,correlation 0,correlation 45,correlation 90,correlation 135,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135
1,214.6939437585734,207.0946193415638,197.0972427983539,0.9918039668870017,0.9924933335445815,0.9912806247234999,0.992598794106305,0.3842573509956181,0.3940660979994848,0.3748993461477437,0.39199554089221145,2.0996787603930964,2.0406110075147628,2.1792766096337943,2.0516061537087174
1,214.6939437585734,207.0946193415638,197.0972427983539,0.9912806247234999,0.992598794106305,0.9918039668870017,0.9924933335445815,0.3748993461477437,0.39199554089221145,0.3842573509956181,0.3940660979994848,2.1792766096337943,2.0516061537087174,2.0996787603930964,2.0406110075147628
1,198.56012860082305,193.56327331961592,184.69661608367628,0.9942357211933509,0.9956445920274943,0.9945004451555408,0.9956260151188272,0.535490611133508,0.5733718904338877,0.5286368679768929,0.5625296343700827,1.201600185528771,1.0593158976534889,1.2306019377448043,1.0952354366492791
1,198.56012860082305,193.56327331961592,184.69661608367628,0.9945004451555408,0.9956260151188272,0.9942357211933509,0.9956445920274943,0.5286368679768929,0.5625296343700827,0.535490611133508,0.5733718904338877,1.2306019377448043,1.0952354366492791,1.201600185528771,1.0593158976534889
1,196.03846793552813,190.84503086419753,183.27978652263374,0.9948506415367472,0.9958394125373632,0.9949437039362254,0.9957611907633391,0.5140385377678327,0.5431261374730398,0.509440049649108,0.5360539505774617,1.3105467944753748,1.1919155913595136,1.3282871229299875,1.2180871486230065
1,196.03846793552813,190.84503086419753,183.27978652263374,0.9949437039362254,0.9957611907633391,0.9948506415367472,0.9958394125373632,0.509440049649108,0.5360539505774617,0.5140385377678327,0.5431261374730398,1.3282871229299875,1.2180871486230065,1.3105467944753748,1.1919155913595136
1,200.0635982510288,201.93083847736625,193.52299639917695,0.9971938313604132,0.9979217619330181,0.9966394385218014,0.997849151719842,0.6078137630576358,0.6438206098154677,0.6088616667874907,0.6451708310498758,1.0586743283172213,0.9176433401675288,1.090490792276543,0.9225770265778162
1,200.0635982510288,201.93083847736625,193.52299639917695,0.9966394385218014,0.997849151719842,0.9971938313604132,0.9979217619330181,0.6088616667874907,0.6451708310498758,0.6078137630576358,0.6438206098154677,1.090490792276543,0.9225770265778162,1.0586743283172213,0.9176433401675288
1,182.46888203017832,178.02405949931412,168.0375925925926,0.9928458458571641,0.9943136790276493,0.9927159847245156,0.9940992475576051,0.5057471438707477,0.5409790975353561,0.5063244722090592,0.5296238172507091,1.3331074348931606,1.18831496228014,1.3322235965093259,1.231401402286974
1,182.46888203017832,178.02405949931412,168.0375925925926,0.9927159847245156,0.9940992475576051,0.9928458458571641,0.9943136790276493,0.5063244722090592,0.5296238172507091,0.5057471438707477,0.5409790975353561,1.3322235965093259,1.231401402286974,1.3331074348931606,1.18831496228014
