label,R,G,B,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,correlation 0,correlation 45,correlation 90,correlation 135,contrast 0,contrast 45,contrast 90,contrast 135
1,214.6939437585734,207.0946193415638,197.0972427983539,0.3842573509956181,0.3940660979994848,0.3748993461477437,0.39199554089221145,0.9918039668870017,0.9924933335445815,0.9912806247234999,0.992598794106305,9.385678210678433,8.596042400156003,9.984708479351507,8.4752744491905
1,214.6939437585734,207.0946193415638,197.0972427983539,0.3748993461477437,0.39199554089221145,0.3842573509956181,0.3940660979994848,0.9912806247234999,0.992598794106305,0.9918039668870017,0.9924933335445815,9.984708479351507,8.4752744491905,9.385678210678433,8.596042400156003
1,198.56012860082305,193.56327331961592,184.69661608367628,0.535490611133508,0.5733718904338877,0.5286368679768929,0.5625296343700827,0.9942357211933509,0.9956445920274943,0.9945004451555408,0.9956260151188272,3.3156522710094554,2.5059424981597354,3.1651257472686223,2.51663186573913
1,198.56012860082305,193.56327331961592,184.69661608367628,0.5286368679768929,0.5625296343700827,0.535490611133508,0.5733718904338877,0.9945004451555408,0.9956260151188272,0.9942357211933509,0.9956445920274943,3.1651257472686223,2.51663186573913,3.3156522710094554,2.5059424981597354
1,196.03846793552813,190.84503086419753,183.27978652263374,0.5140385377678327,0.5431261374730398,0.509440049649108,0.5360539505774617,0.9948506415367472,0.9958394125373632,0.9949437039362254,0.9957611907633391,3.637664914450656,2.9399505772430183,3.5738464577750575,2.9952243564691456
1,196.03846793552813,190.84503086419753,183.27978652263374,0.509440049649108,0.5360539505774617,0.5140385377678327,0.5431261374730398,0.9949437039362254,0.9957611907633391,0.9948506415367472,0.9958394125373632,3.5738464577750575,2.9952243564691456,3.637664914450656,2.9399505772430183
1,200.0635982510288,201.93083847736625,193.52299639917695,0.6078137630576358,0.6438206098154677,0.6088616667874907,0.6451708310498758,0.9971938313604132,0.9979217619330181,0.9966394385218014,0.997849151719842,5.726727307084548,4.2416578698052785,6.859634611420444,4.3898539907115035
1,200.0635982510288,201.93083847736625,193.52299639917695,0.6088616667874907,0.6451708310498758,0.6078137630576358,0.6438206098154677,0.9966394385218014,0.997849151719842,0.9971938313604132,0.9979217619330181,6.859634611420444,4.3898539907115035,5.726727307084548,4.2416578698052785
1,182.46888203017832,178.02405949931412,168.0375925925926,0.5057471438707477,0.5409790975353561,0.5063244722090592,0.5296238172507091,0.9928458458571641,0.9943136790276493,0.9927159847245156,0.9940992475576051,3.7555993609565532,2.9853466765042573,3.82451556380132,3.0979256013144845
1,182.46888203017832,178.02405949931412,168.0375925925926,0.5063244722090592,0.5296238172507091,0.5057471438707477,0.5409790975353561,0.9927159847245156,0.9940992475576051,0.9928458458571641,0.9943136790276493,3.82451556380132,3.0979256013144845,3.7555993609565532,2.9853466765042573
1,181.8478540809328,176.67300754458162,168.13076560356652,0.6017160707766803,0.6215755163084964,0.581131937720217,0.6201917083016966,0.9954852042850749,0.9960613463373283,0.9948525157613721,0.9961705276993975,2.000554009482608,1.7457236087717218,2.2821282553425584,1.697332425159388
