label,R,G,B,correlation 0,correlation 45,correlation 90,correlation 135,contrast 0,contrast 45,contrast 90,contrast 135,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135
1,172.0239951989026,162.54479681069958,99.41727451989026,0.9968657582538973,0.998272484759157,0.9973274329118166,0.9983765748551915,7.007178932179907,3.863439786092321,5.979091939806764,3.630651213966893,0.44500122338713627,0.5262345539804851,0.4663587047579625,0.5256982864897041
1,191.06143947187928,183.01195987654322,99.25782064471879,0.9986865455999745,0.9990909722707471,0.9982912890910545,0.9990903866688691,2.069226276369216,1.431457060866266,2.6897057307773586,1.432378691353413,0.6412261471454922,0.6861769778319989,0.6158035725944606,0.6877714883758963
1,194.1656078532236,184.00746827846365,86.7248268175583,0.9982343400253552,0.9991037200422077,0.9987949371228597,0.9991262778009605,2.3120954442384782,1.174281785300461,1.5797765065622533,1.1447269079168214,0.6830960108153495,0.7427733212495182,0.6971848377864706,0.743227503149802
1,171.3049022633745,161.85073731138547,98.95030864197531,0.9973361833343319,0.9983766945228919,0.9968527369856245,0.9982714761593723,5.902812993884978,3.595837116198463,6.969349103278564,3.828909993721175,0.46904925598933045,0.5274305096537677,0.44528321638142204,0.5276964212520325
1,194.1611445473251,184.01124056927299,86.71448816872427,0.9988121976060242,0.9991241463719412,0.9982124739317811,0.9991010131120514,1.556928983714736,1.1473706904326455,2.3404134886279544,1.17767541256492,0.701856738109021,0.743105449004506,0.6793812046204675,0.7421164107073229
1,198.40217249657064,190.59770147462277,95.20309499314129,0.9979400624202486,0.9990061394117282,0.9987525487583276,0.9989787278875429,2.3028026867314155,1.1118797568544558,1.3967025699168785,1.1425460879663019,0.6526686299975194,0.7261567446794621,0.6914357171533043,0.7278263231190766
1,197.31264660493827,189.59538151577505,94.72253686556927,0.9987809410536433,0.9989751935506316,0.9979131205589497,0.9990024041223916,1.3507154882155095,1.1345872547006919,2.308705249776841,1.1044620486651762,0.6993255413905936,0.7288623183329247,0.6495869315390523,0.7272403431560491
1,198.84367198216736,193.9223311042524,87.22572359396433,0.9978614950568145,0.9988247397161106,0.9983513189514003,0.9988982442584359,2.7345985363843894,1.503489397813676,2.1101757369615197,1.4094564613340272,0.6050349649655749,0.6822352455663769,0.6394155479132307,0.6799694544277426
1,198.8476440329218,193.91718621399178,87.22685442386832,0.9983750111766162,0.9988976488032713,0.9978364759395933,0.9988215304802207,2.0795506081220974,1.4100216364137599,2.7661848072563826,1.507384639434606,0.6441463851605453,0.6797224019540382,0.6007167006611264,0.6811956192029397
1,198.1110262345679,187.98156635802468,83.66788065843622,0.9983642587190623,0.9990860985898495,0.9986760829648954,0.999151543764413,2.2833281797568903,1.2765114782935822,1.8504475022332836,1.1851008511124292,0.6529956588731711,0.721779469961688,0.6811381398978692,0.7229211058737992
1,198.1469804526749,188.03044152949246,83.7958230452675,0.9986868340294551,0.9991474132137667,0.9983476547743033,0.9990805142113907,1.8403945921803664,1.194135922029881,2.3128959664675257,1.2878338763194126,0.6852979124262905,0.7225794376697907,0.6488720633728464,0.7210196678954321
1,193.51117112482854,189.75113082990399,97.10277692043896,0.9982669672937816,0.9988049530684922,0.9975955377021313,0.9987341054553986,2.2851765958909565,1.5753336293774036,3.1688466295611155,1.6687258050523848,0.6380121950025095,0.6703099405975941,0.5868996887003335,0.6730213965682261
1,174.6256121399177,162.67198216735252,96.92650120027434,0.9966085146441318,0.9980425641593659,0.9969198132547495,0.9982876696024678,7.894350821137623,4.5568692392726176,7.171673366316932,3.986268306991406,0.43514898897176196,0.5099478996926374,0.44578689307158276,0.5124434556012053
